,city,city_seo_name,citypart,citypart_seo_name,country,country_id,country_seo_name,district,district_id,district_seo_name,entity_type,geohash,gps_lat,gps_lon,housenumber,inaccuracy_type,municipality,municipality_id,municipality_seo_name,quarter,quarter_id,quarter_seo_name,region,region_id,region_seo_name,street,street_id,street_seo_name,streetnumber,ward,ward_id,ward_seo_name
0,Praha,praha,Libeň,liben,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm15r97h,50.1157484778126,14.4684447971825,,street,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Zenklova,125587,zenklova,,,14955,
1,Praha,praha,Stodůlky,stodulky,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,street,u2fhtwj9mu,50.04296233958891,14.312009164387078,,street,,3468,,Praha-Řeporyje,102,praha-reporyje,Hlavní město Praha,10,hlavni-mesto-praha,Toufarova,5196650,toufarova,,,14962,
2,Praha,praha,Prosek,prosek,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm1u6t35,50.1219229,14.4944527,484,gps,,3468,,Praha 9,119,praha-9,Hlavní město Praha,10,hlavni-mesto-praha,Vysočanská,122770,vysocanska,87,,13710,
3,Praha,praha,Holešovice,holesovice,Česká republika,112,ceska-republika,Praha 7,5007,praha-7,address,u2fm02kmms,50.099955,14.431128,738,gps,,3468,,Praha 7,113,praha-7,Hlavní město Praha,10,hlavni-mesto-praha,Pplk. Sochora,121879,pplk-sochora,38,,14951,
4,Praha,praha,Smíchov,smichov,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhxzugup,50.053021,14.4097724,2584,gps,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Nádražní,121102,nadrazni,2,,13687,
5,Praha,praha,Záběhlice,zabehlice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcbjfm3,50.054107,14.499089,3100,gps,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Aubrechtové,124868,aubrechtove,12,,14970,
6,Praha,praha,Bohnice,bohnice,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm0q0jxd,50.131574,14.425371,405,gps,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Katovická,123413,katovicka,16,,13704,
7,Praha,praha,Vokovice,vokovice,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fjn8nc8v,50.0979459049707,14.3574547968361,676,address,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Evropská,120345,evropska,152,,13697,
8,Praha,praha,Břevnov,brevnov,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fhzj9d9v,50.08438,14.372257,1674,gps,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Pod Marjánkou,121424,pod-marjankou,39,,14948,
9,Praha,praha,Bohnice,bohnice,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fjpymgt0,50.1325906021656,14.4111973390424,,street,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Cafourkova,123439,cafourkova,,,13704,
10,Praha,praha,Nusle,nusle,Česká republika,112,ceska-republika,Praha 4,5004,praha-4,address,u2fkbc90rs,50.0620197540803,14.44872157992,,street,,3468,,Praha 4,90,praha-4,Hlavní město Praha,10,hlavni-mesto-praha,V Horkách,122523,v-horkach,,,14960,
11,Praha,praha,Vinohrady,vinohrady,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbev0n3,50.074320059,14.4431738669,1491,gps,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Moravská,120582,moravska,20,,14967,
12,Praha,praha,Vinohrady,vinohrady,Česká republika,112,ceska-republika,Praha 2,5002,praha-2,address,u2fkbev0n3,50.074320059,14.4431738669,1491,gps,,3468,,Praha 2,88,praha-2,Hlavní město Praha,10,hlavni-mesto-praha,Moravská,120582,moravska,20,,14967,
13,Praha,praha,Libeň,liben,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm19qy5j,50.105580796778,14.4893854702476,,street,,3468,,Praha 9,119,praha-9,Hlavní město Praha,10,hlavni-mesto-praha,Drahobejlova,119526,drahobejlova,,,14955,
14,Praha,praha,Vinoř,vinor,Česká republika,112,ceska-republika,Praha 9,5009,praha-9,address,u2fm78jq6x,50.1427160765622,14.5751930951878,787,address,,3468,,Praha-Vinoř,131,praha-vinor,Hlavní město Praha,10,hlavni-mesto-praha,Českodubská,152662,ceskodubska,,,12299,
15,Praha,praha,Břevnov,brevnov,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fhyvnqxf,50.08230559065272,14.368052106988609,1950,address,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Hošťálkova,119764,hostalkova,27,,14948,
16,Praha,praha,Dejvice,dejvice,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fjp29bn4,50.100414360489,14.3837744760275,164,address,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Mydlářka,120602,mydlarka,9,,13698,
17,Praha,praha,Košíře,kosire,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,street,u2fhz75mmn,50.07112674540863,14.385791024167048,,street,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Starokošířská,121932,starokosirska,,,13688,
18,Praha,praha,Smíchov,smichov,Česká republika,112,ceska-republika,Praha 5,5005,praha-5,address,u2fhzgf4ku,50.074721,14.40603,1269,gps,,3468,,Praha 5,97,praha-5,Hlavní město Praha,10,hlavni-mesto-praha,Preslova,121551,preslova,17,,13687,
19,Praha,praha,Strašnice,strasnice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcuc8u4,50.07994614760832,14.493205017290107,2045,address,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Hostýnská,119763,hostynska,11,,14963,
20,Praha,praha,Vokovice,vokovice,Česká republika,112,ceska-republika,Praha 6,5006,praha-6,address,u2fhyxupzn,50.09764754162767,14.353943987112,649,address,,3468,,Praha 6,107,praha-6,Hlavní město Praha,10,hlavni-mesto-praha,Egyptská,119572,egyptska,3,,13697,
21,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkbvhuh0,50.0818639744684,14.4537215724225,825,address,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Bořivojova,119323,borivojova,31,,14971,
22,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkbvhuh0,50.0818639744684,14.4537215724225,825,address,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Bořivojova,119323,borivojova,31,,14971,
23,Praha,praha,Žižkov,zizkov,Česká republika,112,ceska-republika,Praha 3,5003,praha-3,address,u2fkbvhuh0,50.0818639744684,14.4537215724225,825,address,,3468,,Praha 3,89,praha-3,Hlavní město Praha,10,hlavni-mesto-praha,Bořivojova,119323,borivojova,31,,14971,
24,Praha,praha,Troja,troja,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm0mhxk7,50.126383,14.431414,682,gps,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,Vřesová,141641,vresova,4,,14965,
25,Praha,praha,Libeň,liben,Česká republika,112,ceska-republika,Praha 8,5008,praha-8,address,u2fm16k8zd,50.110157,14.475503,1027,gps,,3468,,Praha 8,115,praha-8,Hlavní město Praha,10,hlavni-mesto-praha,U libeňského pivovaru,122285,u-libenskeho-pivovaru,31,,14955,
26,Praha,praha,Záběhlice,zabehlice,Česká republika,112,ceska-republika,Praha 10,5010,praha-10,address,u2fkcch6nz,50.059587,14.497095,2850,gps,,3468,,Praha 10,132,praha-10,Hlavní město Praha,10,hlavni-mesto-praha,Narcisová,121109,narcisova,2,,14970,
